PT,TM,CPG,CPHL,CPWT,DROGDP,DROGDT,DROHLDP,DROHLDT,DROWTDP,DROWTDT,HG,HHL,HWT,ROG,ROHL,ROWT,RS,RSW,SEG,SEHL,SEWT,SIGGHL,SIGGWT,SIGHLWT,TCG,TCHL,TCWT,VISG,VISHL,VISWT
10000.0,-100.0,1902.58882,1138.5815,4614.04449,1.23518e-05,-0.00071472,2.88722e-07,-0.43572229,4.00459e-08,0.058105882,-246393.48,-495022.76,-3016519.3,0.123372624,927.065299,1007.63031,0.039475059,2.89099e-07,185.651826,-1319.4799,-9070.7927,0.034799427,0.075490164,0.040690737,0.016923494,0.172468786,0.444508881,6.83107e-06,0.36467691,0.603327301
420000.0,-100.0,2125.23479,1154.50607,4613.91187,1.24795e-05,-0.03266248,3.34148e-07,-0.47540148,4.00207e-08,0.0582989,-272595.11,-496464.46,-3016108.3,4.99480727,914.369528,1007.64672,0.025252797,7.94021e-09,-1858.5466,-1344.188,-9070.7692,0.032915691,0.075490164,0.042574473,0.0180935,0.143593528,0.444536627,6.92988e-06,0.305039864,0.603399749
830000.0,-100.0,2247.53339,1169.65557,4613.77936,1.37517e-05,-0.07704411,3.76573e-07,-0.51193296,3.99954e-08,0.05849176,-285596.34,-497982.74,-3015697.4,10.296572,901.464748,1007.66313,0.014517606,4.31008e-09,-2279.129,-1376.9556,-9070.7456,0.031216799,0.075490164,0.044273365,0.018331032,0.129100912,0.444564358,7.04706e-06,0.255274561,0.603472195
1240000.0,-100.0,2394.21921,1187.66555,4613.64697,1.5527e-05,-0.14195123,4.2551e-07,-0.55351752,3.99703e-08,0.058684461,-297958.36,-499853.22,-3015286.4,16.2529987,886.588311,1007.67952,0.001882909,3.08564e-09,-2534.3367,-1418.6094,-9070.722,0.029517008,0.075490164,0.045973156,0.018616335,0.11969484,0.444592074,7.19688e-06,0.206988374,0.603544638
1650000.0,-100.0,2601.51287,1190.16067,4613.51471,1.80686e-05,-0.2431016,4.29978e-07,-0.55786705,3.99451e-08,0.058877003,-311245.95,-499773.59,-3014875.4,23.1175302,884.586667,1007.6959,0.0,2.96953e-09,-2728.9454,-1425.1406,-9070.6982,0.029286705,0.075490164,0.046203459,0.019014177,0.11879783,0.444619775,7.37567e-06,0.200932201,0.60361708
2060000.0,-100.0,2938.39136,1189.96226,4613.38256,2.20006e-05,-0.41648616,4.26928e-07,-0.55595706,3.99199e-08,0.059069386,-326985.83,-499360.66,-3014464.4,31.2646434,884.762331,1007.71228,0.0,2.96113e-09,-2908.0258,-1425.4324,-9070.6744,0.029286705,0.075490164,0.046203459,0.019619275,0.118879979,0.44464746,7.59324e-06,0.201169111,0.603689518
2470000.0,-100.0,3586.91536,1189.76579,4613.25053,2.93015e-05,-0.77385509,4.23913e-07,-0.55406522,3.98948e-08,0.059261611,-346208.06,-498947.62,-3014053.4,41.5966504,884.936753,1007.72864,0.0,2.9528e-09,-3084.923,-1425.723,-9070.6505,0.029286705,0.075490164,0.046203459,0.020568177,0.11896161,0.444675131,7.89309e-06,0.201405794,0.603761954
2880000.0,-100.0,5630.27447,1189.57123,4613.11862,5.1331e-05,-1.9849559,4.20932e-07,-0.55219125,3.98697e-08,0.059453678,-373486.19,-498534.49,-3013642.4,57.0143619,885.109945,1007.74499,0.0,2.94452e-09,-3291.586,-1426.0125,-9070.6266,0.029286705,0.075490164,0.046203459,0.022292651,0.119042728,0.444702786,8.42324e-06,0.201642248,0.603834388
3290000.0,-100.0,5582.37375,1189.37855,4612.98682,9.62093e-06,-4.4663262,4.17985e-07,-0.5503349,3.98447e-08,0.059645586,-649580.78,-498121.26,-3013231.4,298.046119,885.281922,1007.76133,0.0,2.93629e-09,-4866.921,-1426.301,-9070.6025,0.029286705,0.075490164,0.046203459,0.083181184,0.119123339,0.444730426,3.71622e-05,0.201878471,0.603906819
3700000.0,-100.0,5325.50202,1189.18772,4612.85515,8.75163e-06,-4.1741836,4.15072e-07,-0.54849591,3.98196e-08,0.059837338,-651619.36,-497707.94,-3012820.4,301.805954,885.452698,1007.77766,0.0,2.92812e-09,-4886.5887,-1426.5883,-9070.5784,0.029286705,0.075490164,0.046203459,0.08512836,0.119203448,0.444758051,3.78977e-05,0.202114461,0.603979248
