,Shut-down valve
2020-10-10 00:00:04.765,0.0
2020-10-10 00:10:04.765,0.0
2020-10-10 00:20:04.765,0.0
2020-10-10 00:30:04.765,0.0
2020-10-10 00:40:04.765,0.0
2020-10-10 00:50:04.765,0.0
2020-10-10 01:00:04.765,0.0
2020-10-10 01:10:04.765,0.0
2020-10-10 01:20:04.765,0.0
2020-10-10 01:30:04.765,0.0
2020-10-10 01:40:04.765,0.0
2020-10-10 01:50:04.765,0.0
2020-10-10 02:00:04.765,0.0
2020-10-10 02:10:04.765,0.0
2020-10-10 02:20:04.765,0.0
2020-10-10 02:30:04.765,0.0
2020-10-10 02:40:04.765,0.0
2020-10-10 02:50:04.765,0.0
2020-10-10 03:00:04.765,0.0
2020-10-10 03:10:04.765,0.0
2020-10-10 03:20:04.765,0.0
2020-10-10 03:30:04.765,0.0
2020-10-10 03:40:04.765,0.0
2020-10-10 03:50:04.765,0.0
2020-10-10 04:00:04.765,0.0
2020-10-10 04:10:04.765,0.0
2020-10-10 04:20:04.765,0.0
2020-10-10 04:30:04.765,0.0
2020-10-10 04:40:04.765,0.0
2020-10-10 04:50:04.765,0.0
2020-10-10 05:00:04.765,0.0
2020-10-10 05:10:04.765,0.0
2020-10-10 05:20:04.765,0.0
2020-10-10 05:30:04.765,0.0
2020-10-10 05:40:04.765,0.0
2020-10-10 05:50:04.765,0.0
2020-10-10 06:00:04.765,0.0
2020-10-10 06:10:04.765,0.0
2020-10-10 06:20:04.765,0.0
2020-10-10 06:30:04.765,0.0
2020-10-10 06:40:04.765,0.0
2020-10-10 06:50:04.765,0.0
2020-10-10 07:00:04.765,0.0
2020-10-10 07:10:04.765,0.0
2020-10-10 07:20:04.765,0.0
2020-10-10 07:30:04.765,0.0
2020-10-10 07:40:04.765,0.0
2020-10-10 07:50:04.765,0.0
2020-10-10 08:00:04.765,0.0
2020-10-10 08:10:04.765,0.0
2020-10-10 08:20:04.765,0.0
2020-10-10 08:30:04.765,0.0
2020-10-10 08:40:04.765,0.0
2020-10-10 08:50:04.765,0.0
2020-10-10 09:00:04.765,0.0
2020-10-10 09:10:04.765,0.0
2020-10-10 09:20:04.765,0.0
2020-10-10 09:30:04.765,0.0
2020-10-10 09:40:04.765,0.0
2020-10-10 09:50:04.765,0.0
2020-10-10 10:00:04.765,0.0
2020-10-10 10:10:04.765,0.0
2020-10-10 10:20:04.765,0.0
2020-10-10 10:30:04.765,0.0
2020-10-10 10:40:04.765,0.0
2020-10-10 10:50:04.765,0.0
2020-10-10 11:00:04.765,0.0
2020-10-10 11:10:04.765,0.0
2020-10-10 11:20:04.765,0.0
2020-10-10 11:30:04.765,0.0
2020-10-10 11:40:04.765,0.0
2020-10-10 11:50:04.765,0.0
2020-10-10 12:00:04.765,0.0
2020-10-10 12:10:04.765,0.0
2020-10-10 12:20:04.765,0.0
2020-10-10 12:30:04.765,0.0
2020-10-10 12:40:04.765,0.0
2020-10-10 12:50:04.765,0.0
2020-10-10 13:00:04.765,0.0
2020-10-10 13:10:04.765,0.0
2020-10-10 13:20:04.765,0.0
2020-10-10 13:30:04.765,0.0
2020-10-10 13:40:04.765,0.0
2020-10-10 13:50:04.765,0.0
2020-10-10 14:00:04.765,0.0
2020-10-10 14:10:04.765,0.0
2020-10-10 14:20:04.765,0.0
2020-10-10 14:30:04.765,0.0
2020-10-10 14:40:04.765,0.0
2020-10-10 14:50:04.765,0.0
2020-10-10 15:00:04.765,0.0
2020-10-10 15:10:04.765,0.0
2020-10-10 15:20:04.765,0.0
2020-10-10 15:30:04.765,0.0
2020-10-10 15:40:04.765,0.0
2020-10-10 15:50:04.765,0.0
2020-10-10 16:00:04.765,0.0
2020-10-10 16:10:04.765,0.0
2020-10-10 16:20:04.765,0.0
2020-10-10 16:30:04.765,0.0
2020-10-10 16:40:04.765,0.0
2020-10-10 16:50:04.765,0.0
2020-10-10 17:00:04.765,0.0
2020-10-10 17:10:04.765,0.0
2020-10-10 17:20:04.765,0.0
2020-10-10 17:30:04.765,0.0
2020-10-10 17:40:04.765,0.0
2020-10-10 17:50:04.765,0.0
2020-10-10 18:00:04.765,0.0
2020-10-10 18:10:04.765,0.0
2020-10-10 18:20:04.765,0.0
2020-10-10 18:30:04.765,0.0
2020-10-10 18:40:04.765,0.0
2020-10-10 18:50:04.765,0.0
2020-10-10 19:00:04.765,0.0
2020-10-10 19:10:04.765,0.0
2020-10-10 19:20:04.765,0.0
2020-10-10 19:30:04.765,0.0
2020-10-10 19:40:04.765,0.0
2020-10-10 19:50:04.765,0.0
2020-10-10 20:00:04.765,0.0
2020-10-10 20:10:04.765,0.0
2020-10-10 20:20:04.765,0.0
2020-10-10 20:30:04.765,0.0
2020-10-10 20:40:04.765,0.0
2020-10-10 20:50:04.765,0.0
2020-10-10 21:00:04.765,0.0
2020-10-10 21:10:04.765,0.0
2020-10-10 21:20:04.765,0.0
2020-10-10 21:30:04.765,0.0
2020-10-10 21:40:04.765,0.0
2020-10-10 21:50:04.765,0.0
2020-10-10 22:00:04.765,0.0
2020-10-10 22:10:04.765,0.0
2020-10-10 22:20:04.765,0.0
2020-10-10 22:30:04.765,0.0
2020-10-10 22:40:04.765,0.0
2020-10-10 22:50:04.765,0.0
2020-10-10 23:00:04.765,0.0
2020-10-10 23:10:04.765,0.0
2020-10-10 23:20:04.765,0.0
2020-10-10 23:30:04.765,0.0
2020-10-10 23:40:04.765,0.0
2020-10-10 23:50:04.765,0.0
2020-10-11 00:00:04.765,0.0
2020-10-11 00:10:04.765,0.0
2020-10-11 00:20:04.765,0.0
2020-10-11 00:30:04.765,0.0
2020-10-11 00:40:04.765,0.0
