,Volumetric flow rate (m3/h)
2021-05-10 00:00:04.272,45560.6015625
2021-05-10 00:00:14.536,45306.9375
2021-05-10 00:00:24.483,45272.203125
2021-05-10 00:00:34.451,45352.74609375
2021-05-10 00:00:44.415,44996.7734375
2021-05-10 00:00:55.367,44538.41796875
2021-05-10 00:01:05.333,44885.3828125
2021-05-10 00:01:15.331,45521.7265625
2021-05-10 00:01:25.348,44837.671875
2021-05-10 00:01:35.277,45005.9765625
2021-05-10 00:01:45.357,45460.4375
2021-05-10 00:01:56.205,45340.60546875
2021-05-10 00:02:06.198,44860.453125
2021-05-10 00:02:16.557,45200.1015625
2021-05-10 00:02:26.526,45421.875
2021-05-10 00:02:36.479,45968.55078125
2021-05-10 00:02:46.448,45872.3984375
2021-05-10 00:02:57.393,44703.6484375
2021-05-10 00:03:07.353,45673.76953125
2021-05-10 00:03:17.370,45751.91796875
2021-05-10 00:03:27.381,45076.86328125
2021-05-10 00:03:37.374,44874.0390625
2021-05-10 00:03:48.197,45577.3125
2021-05-10 00:03:58.190,45239.01171875
2021-05-10 00:04:08.189,45379.45703125
2021-05-10 00:04:18.192,45042.38671875
2021-05-10 00:04:28.527,45982.484375
2021-05-10 00:04:38.485,45970.55859375
2021-05-10 00:04:49.452,45014.296875
2021-05-10 00:04:59.404,45836.05078125
2021-05-10 00:05:09.363,45280.10546875
2021-05-10 00:05:19.384,44873.37109375
2021-05-10 00:05:29.389,45160.58984375
2021-05-10 00:05:39.385,44817.19140625
2021-05-10 00:05:50.287,45381.44921875
2021-05-10 00:06:00.221,44536.28125
2021-05-10 00:06:10.195,44929.5546875
2021-05-10 00:06:20.198,45022.390625
2021-05-10 00:06:30.574,44901.46484375
2021-05-10 00:06:41.518,45694.640625
2021-05-10 00:06:51.491,45776.13671875
2021-05-10 00:07:01.435,44953.84765625
2021-05-10 00:07:11.389,45337.80859375
2021-05-10 00:07:21.356,45018.2578125
2021-05-10 00:07:31.337,44885.70703125
2021-05-10 00:07:41.294,45170.203125
2021-05-10 00:07:52.258,45222.95703125
2021-05-10 00:08:02.258,45291.73046875
